
1;1;"Бытовой деревообрабатывающий станок МДС-01-05 ";3950000;;;;;9;1;"<p style=""text-align: justify;"">Мощный <strong>деревообрабатывающий станок</strong> с прижимным устройством <strong>МДС 01.05</strong> предназначен для обработки древесины в бытовых условиях. Эта машина по дереву МДС-01-05 была разработана в Могилеве компанией ТехноПрибор. На сегодняшний день этот многфункциональный деревообрабатывающий станок вы можете <strong>купить в Минске</strong>.<br /><br />Детальное описание деревообрабатывающего станка и его основные функции:</p>
<ul>
<li>Строгание по плоскости древесины ( фугование ) с прижимным устройством и без него</li>
<li>Распиловка древесины по направлению волокон ( вдоль и поперек волокон)</li>
</ul>
<p style=""text-align: justify;""><br />Важное преимущества станка по дереву, его двигатель закреплен на фланце, его небольшой вес и габаритные размеры.<br /><br /> В комплект поставки деревообрабатывающего станка МДС-01-05 входит:</p>
<ul>
<li>Машина деревообрабатывающая</li>
<li>Ножи -2шт.</li>
<li>Кожух пилы</li>
<li>Прижимное устройство</li>
<li>Стол пильный</li>
<li>Пила D250</li>
<li>Направляющая линейка</li>
</ul>
<p>Видеодемонстрация станка. Как работать на станке по деревообработке:&nbsp;</p>
<p>&nbsp;</p>
<p><iframe src=""http://www.youtube.com/embed/mZl3xsY6oNc?rel=0"" frameborder=""0"" width=""500"" height=""375""></iframe></p>
<p style=""text-align: justify;"">&nbsp;</p>";"бытовой деревообрабатывающий станок мдс-01-05, купить бытовой деревообрабатывающий станок мдс-01-05                                             ";55336984001.jpg;0;1;6;;;0;шт.;bytovoj-derevoobrabatyvayushhij-stanok-mds-01-051;;"Бытовой деревообрабатывающий станок МДС-01-05, купить бытовой деревообрабатывающий станок МДС-01-05";"Бытовой деревообрабатывающий станок МДС-01-05 предлагает ГарантМаркет. Официальная гарантия на реализуемую продукцию, доставка по Беларуси.";1;5;1
4;3;"Деревообрабатывающий станок (Могилев) ИЭ6009 А4.2 (2.4 кВт)";3550000;;;;;11;1;"<p style=""text-align: justify;""><strong>Станок деревообрабатывающий ИЭ 6009А4.2 2400 Вт</strong>&nbsp;производство РУП завод &laquo;Могилевлифтмаш&raquo;, является функцианальным бытовым деревообрабатывающим станком.</p>
<p style=""text-align: justify;"">Питание от бытовой электросети 220v 50Гц. Станок по дереву не требует стационарного заземления.&nbsp;<br /><br />Станок позволяет производить функции продольного пиления, поперечного, а также пиления под углом, операции строгания по плоскости, по ребру и под углом. Характеристики станка приведены в описании к товару.<br /><br /><strong>Деревообрабатывающие станки от Могилевлифтмаш</strong>&nbsp;- это машины по дереву, которые выполняют необходимые функции для обработки древесины в домашних условиях и мелких бытовых производств.</p>
<p style=""text-align: justify;"">Наиболее популярная <strong>модель деревообрабатывающего станка ИЭ-6009А4. 2</strong>. Его основное преимущество - мощный двигатель со встроенной защитой от перегрева.</p>
<p style=""text-align: justify;"">Создатели станка по дереву уделили большое внимание удобству для работы и безопасности при использовании. Важный элемент это автоматический выключатель, он не только защитить деревообрабатывающий станок, но позволит отключить его от питания в сети.</p>
<p style=""text-align: justify;"">Для удобства перемещения станка его укомплектовали специальными ручками.</p>
<p style=""text-align: justify;"">В комплект входят: так же пила, которая может пилить продольно, поперечно и под углом, строгать по выбранной плоскости и углом.</p>
<p style=""text-align: justify;"">Специальные кожухи дают защиту при работе на станке без прижимного устройства, так же ограждают пилу и имеет возможность для подключения стружкоотсоса.</p>
<p>Внимание!!! Перед включением машины деревообрабатывающей бытовой ИЭ-6009 А4.2 необходимо проверить</p>
<ul>
<li>-Надежность закрепления режущего инструмента</li>
<li>-Затяжку крепежных болтов, натяжку ремня</li>
</ul>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p style=""text-align: justify;"">Ниже видеодемонтрация станка. Обратите внимание на видио деревообрабатывающего станка ИЭ 6009 А4.2 2400ВТ</p>
<p>&nbsp;</p>
<p style=""text-align: justify;"">&nbsp;</p>
<p>&nbsp;</p>
<p><iframe src=""http://www.youtube.com/embed/J2o3GIOFP0A?rel=0"" frameborder=""0"" width=""500"" height=""375""></iframe></p>
<p style=""text-align: justify;"">&nbsp;</p>";"деревообрабатывающий станок (могилев) иэ6009 а4.2 (2.4 квт)                                             ";26708219001.jpg;0;0;2;;;1;шт.;ie6009;;"Изменение цены на товар";"Деревообрабатывающий станок (Могилев) ИЭ6009 А4.2 (2.4 кВт) предлагает ГарантМаркет. Официальная гарантия на реализуемую продукцию, доставка по Беларуси.";1;5;1
5;4;"Деревообрабатывающий станок МАСТЕР-УНИВЕРСАЛ 2000";3750000;;;;;10;1;"<p style=""text-align: justify;"">Деревообрабатывающее оборудование серии <strong>Мастер Универсал</strong> разрабатывалось для широкого круга пользователей. Данное оборудование изготавливалось по чертежам Литовского инженера, специально по заказу Компанией Юнимастер. Мастер универсал имеет широкий диапазон модельного ряда. Все <strong>деревообрабатывающие станки</strong> предназначены для работы в домашних условиях (<strong>бытовых</strong>). Некоторые модели <a href=""http://www.garant.kuvalda.by/item.php?id=7"">мастер универсал 2500Е</a>, а так же<a href=""http://www.garant.kuvalda.by/item.php?id=16""> Мастер универсал Р (рейсмус</a>) можно использовать на небольших производствах.</p>
<p style=""text-align: justify;""><strong>Деревообрабатывающий станок</strong> это не заменимый помощник в быту, с его помощью мы сможете сделать массу полезных вещей в ваш дом, дачу, он просто необходим строителю, для выполнения кажется простых задач, но без станка быстро и аккуратно не возможно обработать дерево.</p>
<p style=""text-align: justify;""><strong>Деревообрабатывающий станок Мастер-Универсал 1800-2000</strong> &ndash; это станок для деревообработки.</p>
<p style=""text-align: justify;"">Комплектация станка:</p>
<ul>
<li>
<div style=""text-align: justify;"">Индивидуальная упаковка дополнительно укрепленная.</div>
</li>
<li>
<div style=""text-align: justify;"">Комлектующая деталь для пиления под углом.</div>
</li>
<li>
<div style=""text-align: justify;"">Строгальный механизм.</div>
</li>
<li>
<div style=""text-align: justify;"">Диск пильный с посадочным отверстием 32.</div>
</li>
<li>
<div style=""text-align: justify;"">Устройство прижимное.</div>
</li>
<li>
<div style=""text-align: justify;"">Столы строгальный и пильный.</div>
</li>
<li>
<div style=""text-align: justify;"">Дополнительная линейка для функции распиловки и строгания.</div>
</li>
<li>
<div style=""text-align: justify;"">Специальное устройство для подсоединения стружкоотсоса.</div>
</li>
<li>
<div style=""text-align: justify;"">Индивидуальные средства защиты при работе (беруши).</div>
</li>
</ul>
<p style=""text-align: justify;"">Портативный <strong>деревообрабатывающий станок МАСТЕР-УНИВЕРСАЛ &nbsp;2000</strong> &ndash; это один из самых компактных деревообрабатывающих станков из всех представленных моделей бытовых деревообрабатывающих станков МАСТЕР-УНИВЕРСАЛ.</p>
<p style=""text-align: justify;"">Мастер Универсал 2000 имеет следующие основные функции &ndash; строгание и распиловка. Станок оборудован запатентованной уникальной конструкцией установки пильного диска, защитными ограждениями, механизмом плавной регулировки глубины строгания, запираемым включателем, предохраняющим от случайного нажатия. Соответствует требованиям ГОСТ и имеет Сертификат качества. Для того что бы<strong> купить</strong> и получить консультацию квалифицированного специалиста, вам необходимо позвонить по указанным телефонам на сайте. Наша компания находиться в <strong>Минске</strong>, так же мы осуществляем доставку по Республике Беларусь. Для деревообрабатывающих станков Мастер Универсал всегда в наличии ножи, ремни и иные необходимые запчасти.</p>";"деревообрабатывающий станок мастер-универсал 2000, купить деревообрабатывающий станок мастер-универсал 2000, мастер-универсал 2000                                             ";67928406mu2000.jpg;0;1;2;;;1;;derevoobrabatyvayushhij-stanok-master-universal-20001;;"Изменение цены на товар";"Деревообрабатывающий станок МАСТЕР-УНИВЕРСАЛ 2000 предлагает ГарантМаркет. Официальная гарантия на реализуемую продукцию, доставка по Беларуси.";1;5;1
7;6;"Деревообрабатывающий станок МАСТЕР-УНИВЕРСАЛ 2500E";5800000;;;;;10;1;"<p style=""text-align: justify;"">В комплект поставки деревообрабатывающего станка МАСТЕР-УНИВЕРСАЛ 2500Е входит</p>
<ol>
<li>
<div style=""text-align: justify;"">пильный и строгальный стол,</div>
</li>
<li>
<div style=""text-align: justify;"">прижимное приспособление</div>
</li>
<li>
<div style=""text-align: justify;"">приспособление для поперечной распиловки под углом,</div>
</li>
<li>
<div style=""text-align: justify;"">линейка для распиловки и строгания,</div>
</li>
<li>
<div style=""text-align: justify;"">переходник для удаления стружки,</div>
</li>
<li>
<div style=""text-align: justify;"">опоры,</div>
</li>
<li>
<div style=""text-align: justify;"">средства индивидуальной защиты,</div>
</li>
<li>
<div style=""text-align: justify;"">оснастка,</div>
</li>
<li>
<div style=""text-align: justify;"">строгальная машина,</div>
</li>
<li>
<div style=""text-align: justify;"">упаковка.</div>
</li>
</ol>
<p style=""text-align: justify;"">Многофункциональный деревообрабатывающий станок МАСТЕР-УНИВЕРСАЛ 2500Е является самым мощным станком во всей линейке деревообрабатывающих станков МАСТЕР-УНИВЕРСАЛ. Мощность деревообрабатывающего станка МАСТЕР-УНИВЕРСАЛ 2500Е составляет 2500Вт. В дополнение к данному деревообрабатывающему станку идет электронный блок, позволяющий работать станку даже при пониженном напряжении в электрической сети (минимальное значение 160 вольт) МАСТЕР-УНИВЕРСАЛ 2500Е соответствует требованиям ГОСТ 12.2.026.0-93, ГОСТ Р 50787-95.&nbsp;</p>";"деревообрабатывающий станок мастер-универсал 2500e, купить деревообрабатывающий станок мастер-универсал 2500e                                             ";86081595003.jpg;0;1;1;;;1;шт.;derevoobrabatyvayushhij-stanok-master-universal-2500e1;;"Деревообрабатывающий станок МАСТЕР-УНИВЕРСАЛ 2500E, купить деревообрабатывающий станок МАСТЕР-УНИВЕРСАЛ 2500E";"Деревообрабатывающий станок МАСТЕР-УНИВЕРСАЛ 2500E предлагает ГарантМаркет. Официальная гарантия на реализуемую продукцию, доставка по Беларуси.";1;5;1
15;107;"Тепловая дизельная пушка МАСТЕР ПТД-28";4600000;;;;;10;8;"<p><strong>МАСТЕР&nbsp;</strong>ПТД-28 - <strong>это тепловая дизельная пушка прямого нагрева</strong>. Отопление тепловой пушкой - это лучший и максимально экономный вариант обогреть склад, помещения с высокими потолками, транспортные депо и иные помещений, так же тепловая пушка просто необходима для строительных объектов, теплиц и ангаров.<br /> <br /><strong>Производитель тепловой дизельной пушки</strong> уделил внимание удобству перемещения ее, снабдил ее колесной опорой, благодоря которой перемещать пушку по помещению не составит труда.<br />Дизельный аппарат прямого нагрева состоит из корпуса целендрической формы, который сделан из высококачяественной стали, оснащен горелкой, камерой для сгорания, электродвигателя, топливного бака и насоса, вентилятора и системой зажигания.<br /> <br /><br />В комплект поставки входит:<br />Тепловая дизельная пушка<br />Ручка<br />Опора<br />Ось<br />Колеса<br />Крепеж<br />Фильтры<br /><strong></strong><br />Картонная упаковка дополнительно укрепленная.</p>";"тепловая дизельная пушка мастер птд-28, купить тепловую дизельную пушку мастер птд-28                                             ";16679748101untitled.png;0;0;18;;;1;;teplovaya-dizelnaya-pushka-master-ptd-281;;"Тепловая дизельная пушка МАСТЕР ПТД-28, купить тепловую дизельную пушку МАСТЕР ПТД-28";"Тепловая дизельная пушка МАСТЕР ПТД-28 продается на сайте garant.kuvalda.by. ГарантМаркет предоставляет официальную гарантию на реализуемую продукцию.";1;5;1
16;404;"Деревообрабатывающий рейсмус МАСТЕР-УНИВЕРСАЛ Р";8250000;;;;;10;11;"<p style=""color: red;""><span style=""color: #000000;"">В комплект поставки деревообрабатывающего станка МАСТЕР-УНИВЕРСАЛ Р входит следующее: руководство по эксплуатации и обслуживанию деревообрабатывающего станка, средства для индивидуальной защиты мастера, опоры к станку, оснастка, переходник для удаления стружки, линейка для распиловки и строгания, приспособление для поперечной распиловки под углом, прижимное приспособление, строгальный и пильный стол, строгальная машина, упаковка. Деревообрабатывающий станок МАСТЕР-УНИВЕРСАЛ Р из линейки деревообрабатывающих станков МАСТЕР-УНИВЕРСАЛ является наиболее многофункциональным. Функциональность деревообрабатывающего станка МАСТЕР-УНИВЕРСАЛ Р позволяет производить рейсмусование, распиловку, строгание, фрезерование, сверление. Одним из важных преимуществ данного станка является то, что он не требует специального места под установку &ndash; в комплекте со станком идут опоры. Также станок не требует преобразователей напряжения и подключается в стандартную бытовую электрическую сеть. В описании к товару приведены технические характеристики деревообрабатывающего станка МАСТЕР-УНИВЕРСАЛ Р. МАСТЕР-УНИВЕРСАЛ Р соответствует требованиям ГОСТ 12.2.026.0-93, ГОСТ Р 50787-95.&nbsp;</span></p>
<p><br />Смотрите также МАСТЕР-УНИВЕРСАЛ 2200 <br /><br /></p>";"деревообрабатывающий рейсмус мастер-универсал р (рейсмус), купить деревообрабатывающий рейсмус мастер-универсал р (рейсмус)                                             ";27434048759666142821r.jpg;0;0;1114;;;1;шт.;derevoobrabatyvayushhij-rejsmus-master-universal-r1;;"Изменение цены на товар";"Деревообрабатывающий рейсмус МАСТЕР-УНИВЕРСАЛ Р (рейсмус) предлагает ГарантМаркет. Официальная гарантия на реализуемую продукцию, доставка по Беларуси.";1;5;1
17;108;"Дизельная пушка тепловая МАСТЕР ПТД-43";5259000;;;;;10;8;"<p style=""text-align: justify;""><strong>МАСТЕР</strong>ПТД-43 - <strong>это тепловая дизельная пушка прямого нагрева</strong>. Отопление тепловой пушкой - это лучший и максимально экономный вариант обогреть склад, помещения с высокими потолками, транспортные депо и иные помещений, так же тепловая пушка просто необходима для строительных объектов, теплиц и ангаров.<br /> <br /><strong>Производитель тепловой дизельной пушки</strong> уделил внимание удобству перемещения ее, снабдил ее колесной опорой, благодоря которой перемещать пушку по помещению не составит труда.<br />Дизельный аппарат прямого нагрева состоит из корпуса целендрической формы, который сделан из высококачяественной стали, оснащен горелкой, камерой для сгорания, электродвигателя, топливного бака и насоса, вентилятора и системой зажигания.<br /> <br /><br />В комплект поставки входит:<br />Тепловая дизельная пушка<br />Ручка<br />Опора<br />Ось<br />Колеса<br />Крепеж<br />Фильтры<br /><strong>Руководство по эксплуатации тепловой пушки</strong><br />Картонная упаковка дополнительно укрепленная</p>
<hr />
<p style=""text-align: justify;"">Технические параметры:</p>
<p style=""text-align: justify;"">Номинальная мощность, кВт 43<br />Производительность, м &sup3;/час 1050<br />Номинальное напряжение питания, В 220<br />Номинальная частота питающей сети, Гц 50<br />Класс защиты IPX4D<br />Объём топливного бака, л 46<br />Расход топлива, л/час 4,25<br />Размер индивидуальной упаковки (Д&times;Ш&times;В), мм 930&times;510&times;560<br />Масса нетто/брутто, кг 32/35</p>";"дизельная пушка тепловая мастер птд-43, купить дизельную пушку тепловую мастер птд-43                                             ";10696714143untitled.png;0;0;18;;;1;;dizelnaya-pushka-teplovaya-master-ptd-431;;"Дизельная пушка тепловая МАСТЕР ПТД-43, купить дизельную пушку тепловую МАСТЕР ПТД-43";"Дизельная (газовая, электрическая) тепловая пушка МАСТЕР ПТД-43 продается на сайте garant.kuvalda.by. ГарантМаркет предоставляет официальную гарантию на реализуемую продукцию.";1;5;1
18;109;"Электроплуг - Лебедка сельскохозяйственная электрическая ЛС100";4100000;;;;;11;4;"<h1 style=""text-align: justify;""><span style=""font-size: small;"">Электроплуг ЛС-100 А.&nbsp;</span></h1>
<p style=""text-align: justify;""><span style=""font-size: small;"">Комплект поставки электроплуг:</span></p>
<p style=""text-align: justify;""><span style=""font-size: small;"">- Трос <strong>40метров</strong>.</span></p>
<p style=""text-align: justify;""><span style=""font-size: small;"">- Окучник&nbsp;</span></p>
<p style=""text-align: justify;""><span style=""font-size: small;"">- Лебедка</span></p>
<p style=""text-align: justify;""><span style=""font-size: small;"">- Плуг</span></p>
<p style=""text-align: justify;""><span style=""font-size: small;"">- Ручки</span></p>
<p style=""text-align: justify;""><span style=""font-size: small;"">- Тяга в сборе</span></p>
<p style=""text-align: justify;""><span style=""font-size: small;""><strong>Лебедка</strong> ставится на край участка, и металлический канат вытягивается вручную на нужную длину (длина каната <strong>Электроплуга</strong> не более 40м) . К концу каната крепится управляющий руль, в который в специальное отверстие устанавливается <strong>плуг</strong> (<strong>окучник</strong>), который после включения лебедки начинает вспахивать землю, двигаясь по направлению к лебедке. Один человек контролирует включение/выключение <strong>Лебедки</strong>, другой же направляет движение <strong>плуга</strong> по борозде.</span></p>
<p><span style=""font-size: small;""><strong>Заказать</strong> <strong>Электроплуг</strong> <strong>в Минске</strong> можно в нашем мгазине. Доставку электроплуга (лебедка сельскохозяйственная) осуществляеться бесплатно, а так же <strong>купить</strong> электроплуг вы можете сл склада в промзоне Колядичи.&nbsp;</span></p>";"сельскохозяйственная лебедка лс100, купить электроплуг лс100, электроплуг лс100                                             ";56456959001.jpg;10;1;2;;;1;;elektroplug-lebedka-selskoxozyajstvennaya-elektricheskaya-ls1001;;"Изменение цены на товар";"Электроплуг ЛС100 можно приобрести на сайте garant.kuvalda.by. Официальная гарантия на реализуемую продукцию, доставка по Беларуси.";1;5;1
19;300;"Уличный газовый инфракрасный обогреватель Enders";0;;;;;0;12;"<p style=""text-align: justify;"">Сделать заказ можно по телефоном и мы доставим вам его в тот же день. Уличный инфракрасный обогреватель позволит вам в вечернее время ощутить комфорт на открытом воздухе. При температуре воздуха +10 уличный инфракрасный обогреватель прогревает воздух на расстоянии в 9 метров вокруг себя до температуры +25. Это замечательное решение для тех кто любит вечера провести на свежем воздухе. Читаете или ужинаете поздним вечером на веранде &ndash;уличный обогреватель создаст комфорт вокруг вас. Уличный инфракрасный обогреватель также идеально подходит для кафе и баров с летней террасой. Заказать уличный обогреватель Enders, а также получить консультацию Вы можете по контактным телефонам.</p>";"купить уличный обогреватель enders, инфракрасный обогреватель enders, уличный обогреватель enders                                             ";59838343677zontik.jpg;0;0;9;;;0;;ulichnyj-gazovyj-infrakrasnyj-obogrevatel-enders1;;"Уличный газовый инфракрасный обогреватель Enders, купить уличный обогреватель Enders";"ГарантМаркет предлагает купить уличный газовый инфракрасный обогреватель Enders. Обогреватель Enders - идеальное решение для любителей проводить прохладные вечера на свежем воздухе.";1;5;1
22;49;"Пила комбинированная торцевая Мастер Универсал ПК 2000";0;;;;;10;9;"<p style=""text-align: justify;"">Пила комбинированная предназначена для распила не только материалов из дерева, но также и материалов из алюминия и пластика при наличии специальных пильных дисков. Мощность данного станка составляет две тысячи ват. Максимальный размер пильного диска &mdash; 250 мм. Остальные техничекие характеристи пилы также представлены в описании товара. Ниже представлен паспорт изделия в формате PDF.</p>
<p style=""text-align: justify;"">Данный станок может работать в двух режимах:</p>
<ul style=""text-align: justify;"">
<li>режим торцовочно-усорезной пилы</li>
<li>режим стационарной дисковой пилы</li>
</ul>
<p style=""text-align: justify;"">Трансформация стационарной дисковой пилы в торцовочно-усорезную пилу и обратно производится легко и просто при помощи переворачиванием стола. Данная операция осуществляется быстро и не требует дополнительных интрументов.</p>
<p style=""text-align: justify;"">Комбинированная пила МАСТЕР-УНИВЕРСАЛ ПК2000 подходит для выполнения следующих операций. В режиме торцовочно-усорезной пилы (пильный диск подается к обрабатываемой заготовке):</p>
<ul style=""text-align: justify;"">
<li>поперечное пиление под прямым углом;</li>
<li>пиление под скосом;</li>
<li>пиление с наклоном;</li>
<li>пиление комбинированное (со скосом и наклоном)</li>
</ul>
<p style=""text-align: justify;"">В режиме стационарной дисковой пилы (обрабатываемая заготовка подается к пильному диску):</p>
<ul style=""text-align: justify;"">
<li>продольное пиление;</li>
<li>продольное пиление с параллельной направляющей;</li>
<li>продольное пиление с наклоном;</li>
<li>поперечное пиление;</li>
<li>поперечное пиление под углом (со скосом).</li>
</ul>
<p style=""text-align: justify;"">Комплект поставки: пила комбинированная, расклинивающий нож с ограждением, опоры, приспособление для поперечной распиловки под углом, направляющая параллельная, кожух нижний, диск пильный, толкатель, ключ шестигранный, ключ гаечный накидной, метизы, индивидуальные средства защиты, руководство по эксплуатации, упаковка.</p>";"торцовочная комбинированная пила мастер универсал пк 2000, купить торцовочную пилу мастер универсал пк 2000, мастер универсал пк 2000                                             ";65570437pk_2000_436_auto.jpg;0;0;6;433paspkombpila2012.pdf;" паспорт в формате PDF";0;;pila-kombinirovannaya-torcevaya-master-universal-pk-20001;;"Торцовочная комбинированная пила Мастер Универсал ПК 2000, купить торцовочную пилу Мастер Универсал ПК 2000";"Торцовочную комбинированную пилу Мастер Универсал ПК 2000 можно купить на сайте garant.kuvalda.by. Торцовочная пила Мастер Универсал ПК 2000 может использоваться для распила не только дерева, но и алюминия.";1;5;1
